invoice_no,date,workshop,vehicle_id,plate,make_model,odometer_km,kind,subtotal,vat,total,pdf_file
INV-46706562,2024-09-09,מוסך העיר (בדיקה),VH-01,41-328-27,Mazda 3,3564,routine,794.02,134.98,929.0,INV-46706562_VH-01.pdf
INV-01627204,2023-01-28,מוסך העיר (בדיקה),VH-01,41-328-27,Mazda 3,4997,routine,666.31,113.27,779.58,INV-01627204_VH-01.pdf
INV-17080531,2023-10-12,מוסך צי צפון (בדיקה),VH-01,41-328-27,Mazda 3,6030,routine,898.49,152.74,1051.23,INV-17080531_VH-01.pdf
INV-32719374,2023-07-24,יואב חשמל ופנסים (בדיקה),VH-01,41-328-27,Mazda 3,7498,routine,656.5,111.61,768.11,INV-32719374_VH-01.pdf
INV-19049663,2023-04-28,מוסך המרכז (בדיקה),VH-01,41-328-27,Mazda 3,9371,routine,590.71,100.42,691.13,INV-19049663_VH-01.pdf
INV-19058651,2023-11-05,יוסי צמיגים ופרונט (בדיקה),VH-01,41-328-27,Mazda 3,10815,routine,1070.69,182.02,1252.71,INV-19058651_VH-01.pdf
INV-72628498,2023-04-19,מוסך צי צפון (בדיקה),VH-01,41-328-27,Mazda 3,12683,routine,913.96,155.37,1069.33,INV-72628498_VH-01.pdf
INV-14737996,2023-10-02,מוסך העיר (בדיקה),VH-01,41-328-27,Mazda 3,14423,routine,673.82,114.55,788.37,INV-14737996_VH-01.pdf
INV-54948083,2023-08-06,מוסך צי צפון (בדיקה),VH-01,41-328-27,Mazda 3,16099,routine,708.88,120.51,829.39,INV-54948083_VH-01.pdf
INV-70143634,2024-05-02,יואב חשמל ופנסים (בדיקה),VH-01,41-328-27,Mazda 3,17674,routine,952.06,161.85,1113.91,INV-70143634_VH-01.pdf
INV-74443135,2024-07-17,מוסך צי צפון (בדיקה),VH-01,41-328-27,Mazda 3,18800,tires,2158.42,366.93,2525.35,INV-74443135_VH-01.pdf
INV-89413435,2024-08-26,יוסי צמיגים ופרונט (בדיקה),VH-01,41-328-27,Mazda 3,20687,lights,280.32,47.65,327.97,INV-89413435_VH-01.pdf
INV-27109477,2023-02-25,עובד חלפים מקוריים (בדיקה),VH-01,41-328-27,Mazda 3,22075,spark_plugs,784.57,133.38,917.95,INV-27109477_VH-01.pdf
INV-90229413,2023-03-08,יוסי צמיגים ופרונט (בדיקה),VH-02,64-132-13,Toyota Corolla,7375,routine,758.08,128.87,886.95,INV-90229413_VH-02.pdf
INV-74964990,2023-08-20,מוסך העיר (בדיקה),VH-02,64-132-13,Toyota Corolla,9660,routine,1152.19,195.87,1348.06,INV-74964990_VH-02.pdf
